"setup_time","direction","confidence","outcome","pnl_r","entry_time","exit_time","exit_reason","reason"
"2026-04-22T16:30:00","buy","78","LOSS","-1.0","2026-04-22T16:45:00","2026-04-22T16:47:00","SL_HIT","The dashed level aligns with a clear prior swing low that price approached directionally before the sweep, the sweep candle and rectangle on the far right appear proportionate and visible, with no evidence of repeated wicks through the same level or prolonged ranging around it."
"2026-04-22T19:15:00","sell","78","WIN","3.0","2026-04-22T19:30:00","2026-04-23T05:13:00","TP_HIT","The swept level (dashed line) is a clear prior swing high from the earlier rally, the sweep candle wick is proportionate to surrounding candles, the rectangle box is visible and tradeable, and price was rallying back up toward the level before the rejection rather than chopping around it."
"2026-04-23T05:45:00","sell","72","WIN","3.0","2026-04-23T06:00:00","2026-04-23T06:11:00","TP_HIT","The dashed level corresponds to a identifiable prior swing area, the sweep candle on the right is proportionate relative to surrounding candles, the rectangle box appears visible and tradeable, and price had been drifting downward into the level rather than chopping around it repeatedly."
"2026-04-23T16:45:00","sell","82","LOSS","-1.0","2026-04-23T17:03:00","2026-04-23T19:45:00","SL_HIT","The dashed level aligns with a clear prior swing high from the left side of the chart, price approached it with momentum from below, the sweep candle wick is proportionate to surrounding candles, and the rectangle box appears visibly meaningful with adequate size for trade placement."
"2026-04-24T02:30:00","buy","72","LOSS","-1.0","2026-04-24T02:45:00","2026-04-24T07:57:00","SL_HIT","The dashed level represents a visually clear prior swing low from the left side of the chart, the sweep candle and its wick are proportionate to surrounding candles, the rectangle appears meaningfully sized, and price was in a directional move downward into the level rather than chopping around it, though the recent candles show some consolidation just above the zone which slightly reduces clarity."
"2026-04-27T23:45:00","buy","72","WIN","3.0","2026-04-28T00:00:00","2026-04-28T02:02:00","TP_HIT","The dashed level corresponds to a identifiable prior swing low from the left side of the chart, price approached it with directional momentum rather than prolonged chop, the sweep candle appears proportionate with no extreme spike wick, and the rectangle box is visible and tradeable in size."
"2026-04-28T13:00:00","buy","72","LOSS","-1.0","2026-04-28T13:15:00","2026-04-28T14:00:00","SL_HIT","The dashed level aligns with a visually clear swing low from the mid-chart consolidation zone, the sweep candle appears proportionate relative to surrounding candles, the rectangle box is visible and tradeable, and price had been trending downward into the level rather than ranging around it — though the proximity of the box to the absolute chart low and the clustering of small candles just above the level introduces minor noise concern."
"2026-04-28T22:30:00","sell","78","LOSS","-1.0","2026-04-28T23:04:00","2026-04-28T23:10:00","SL_HIT","The dashed level aligns with a clear prior swing high from the left side of the chart, price approached it cleanly from below on the recovery rally, and the sweep candle at the far right shows a proportionate wick through the level with a visible close-back rectangle, not a massive spike or sideways chop around the level."
"2026-04-29T00:00:00","sell","78","LOSS","-1.0","2026-04-29T00:15:00","2026-04-29T01:30:00","SL_HIT","The swept level (dashed line) is a visually clear prior swing high from the left side of the chart, price approached it cleanly from below after a full V-shaped recovery, the sweep candle appears proportionate with no extreme spike, and the rectangle box is visible and meaningful in size."
"2026-04-29T03:00:00","sell","82","LOSS","-1.0","2026-04-29T03:15:00","2026-04-29T04:46:00","SL_HIT","The dashed level sits at a clear prior swing high from the left side of the chart, price trended cleanly into it from below without extended ranging around it, and the sweep candle and rectangle appear proportionate relative to surrounding candles."
